34||Doubravník|kostel Povýšení sv. Kříže|Jihomoravský|Brno-venkov|Výmola, Jan|1722-1805|32||49.4256094|16.3518378||1761|2|18|mz|mechanická traktura, zásuvková vzdušnice||||Michek, Dalibor|44||2013|4554000|1|1|1|||||1||||||římskokatolický kostel|||Kvalitní Výmolovy varhany, jedinečně dochované v původním stavu.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 60), Gerbrich, Josef, ed., Michek, Dalibor, ed. a Šenkyříková, Barbora, ed. Doubravník a Výmolovy varhany. Doubravník: Římskokatolická farnost Doubravník, 2014. 84 s. ISBN 978-80-260-6919-5.; Varhaník: časopis pro varhanickou praxi. Kostelní Vydří: Karmelitské nakladatelství, [1999]- . ISSN 1212-5334. (4/2014, str. 1)||https://www.doubravnik.cz/varhany.php|90||Velmi špatný stav varhan zvrátilo až v 21. století provedené zdařilé restaurování. Varhanní skříň zdařile zapadá do gotického prostoru kostela a raritně disponuje píšťalovými prospekty i po stranách skříně. Rejstřík Fagot 8‘ byl postaven až během restaurování na základě hypotézy, že právě jazykový rejstřík tohoto typu chtěl Výmola disponovat na neosazeném místě na vzdušnici.|||1||https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Doubravn%C3%ADk%2C_church_-_cz.jpg/379px-Doubravn%C3%ADk%2C_church_-_cz.jpg|Lysippos, CC BY-SA 3.0, via Wikimedia Commons||
33|1|Dub nad Moravou|kostel Očišťování Panny Marie|Olomoucký|Olomouc|Výmola, Jan|1722-1805|32||49.4834803|17.2749228||1768|2|29|mz|mechanická traktura, zásuvková vzdušnice|||2970 zl.||||||1|1|1|||||1||||1||římskokatolický kostel|||Velký a dobře dochovaný Výmolův nástroj.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 64)|||93||Varhany svojí monumentalitou, vyjádřenou též velkou a bohatě zdobenou skříní, odpovídají významu známého poutního místa. Dispozice byla upravena jen částečně na konci 19. století Františkem Čápkem. Ačkoli jsou varhany v současné době hratelné, bylo by žádoucí jejich restaurování.|Uvedený počet rejstříků se týká původní dispozice před úpravami na konci 19. století.||1|||||
64||Filipov|kostel Panny Marie Pomocnice Křesťanů|Ústecký|Děčín|Eule, Hermann|||11|50.9805878|14.5976881|Německo|1889|2|22|mk|mechanická traktura, kuželková vzdušnice||||Eule||11|2009|42000 EUR|4|1||1|||||1|||||římskokatolický kostel||Arte musica – Varhanní hudba ve Filipově|Zachovalý nástroj budyšínské firmy Eule, využívaný při řadě koncertních příležitostí.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 94)||http://artemusica.cz|4510|||||1|||||
105||Frýdek|poutní bazilika Navštívení Panny Marie|Moravskoslezský|Frýdek-Místek|Rieger||13||49.6897942|18.3467828||1894|2|29|mk|mechanická traktura, kuželková vzdušnice||Staudinger, Joseph Sebastian (varhanář)|||||||7|1||1|||||1|||||římskokatolický kostel|||Zachovalá barokní skříň zřejmě největšího nástroje postaveného varhanářským rodem Staudingerů.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 68)|||117||V r. 1764 postavil do kostela barokní varhany o 30 rejstřících varhanář Joseph Sebastian Staudinger z Andělské Hory. Nástroj byl nahrazen v r. 1894 romantickým nástrojem firmy Rieger. V této době došlo pravděpodobně k přesunu zadního pozitivu ze zábradlí kůru nad okno mezi varhanními skříněmi. Od té doby je pozitiv atrapou, tedy nehraje a plní pouze výtvarnou funkci.|||1|||||
75||Hejnice|kostel Navštívení Panny Marie|Liberecký|Liberec|Rieger||13||50.8754564|15.1825369||1929|2|41|p|pneumatická traktura|||||||||5|1||1|||||0,5?|||||římskokatolický kostel|||||||3408||Zachovalé varhany firmy Rieger z meziválečného období hostí na známém poutním místě každoročně několik koncertů.|||1|||||
47||Hradec Králové|sál Filharmonie Hradec Králové|Královéhradecký|Hradec Králové|Rieger-Kloss; Ponča, Robert||14;67||50.2138117|15.8291964||2018|4|54|?|?|||14500000||||||7|1||||1||||1||1||koncertní síň|1|||||https://www.fhk.cz/134/Varhany/|?||Pravděpodobně jde o největší varhany postavené u nás po r. 1989.||Cena varhan: https://www.hradeckralove.org/hradec-kralove-ma-nove-varhany-salem-filharmonie-se-rozeznely-prvni-tony/d-45771; Není na varhany.net|1|||||
106||Hradec Králové-Kukleny|klášterní kostel sv. Anny|Královéhradecký|Hradec Králové|Kobrle, Josef|1851-1919|53||50.2029497|15.7846636||1903|2|22|m-Bkk|mechanická traktura s Barkerovou pákou, kuželková vzdušnice|||||||||5|1||1|||||1|||||římskokatolický kostel|||Velmi dobře zachovaný a zvukově značně zdařilý nástroj Josefa Kobrleho.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 80)|||779|||||1|||||
107||Hranice u Chebu|evangelický kostel sv. Martina|Karlovarský|Cheb|Schubert, Carl Eduard|1830-1900||13|50.3046394|12.1772547|Německo|1860|2|30|mz|mechanická traktura, zásuvková vzdušnice|||||||||4|1||1||||1||||||evangelický kostel|||V našem prostředí zcela jedinečná koncepce varhan navazující na dílo Gottfrieda Silbermanna.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 82)|||3052||Evangelický kostel skýtá varhany typické pro evangelické prostředí nedalekého Saska, kde v období baroka působil slavný varhanář a Bachův současník Gottfried Silbermann (1683-1753). Právě na něj svým hranickým nástrojem navázal konzervativní saský varhanář Carl Eduard Schubert. Typickými silbermannovskými rysy na jeho hranických varhanách jsou způsob ztvárnění varhanní skříně a hracího stolu, stejně jako dispozice varhan, která překvapí plnohodnotným mixturovým plenem na obou manuálech (na svou dobu už neobvyklým), dostatkem jazykových rejstříků a pro Silbermanna charakteristickým rejstříkem Tercií.|||1|||||
125||Hrubý Rohozec|zámecká kaple Nejsvětější Trojice|Liberecký|Semily|Tauchmannové||36||50.5983697|15.1576506||po 1770|2|11|mz|mechanická traktura, zásuvková vzdušnice|||||||||5|1|1|||||1||||||římskokatolický kostel||||Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 84)|||535||Zvukově krásné varhany postavil patrně Georg Tauchmann.|||1|||||
42||Humpolec|kostel sv. Mikuláše|Vysočina|Pelhřimov|Kánský-Brachtl||8||49.5415142|15.3593303||2004|2|25|mz|mechanická traktura, zásuvková vzdušnice|||4100000||||||6|1||||1||||1||||římskokatolický kostel||Varhanní Vysočina||||http://kansky-brachtl.cz/www/nastroje/dispozice/humpolec|2261||Dispozice varhan má raně barokní charakter a v názvech rejstříků jsou patrné francouzské vzory. Skříň disponující uzavíratelnými dveřmi rovněž čerpá z raně barokních vzorů.||Cena varhan: https://www.cesky-dialog.net/clanek/1308-nove-varhany-pro-kostel-sv-mikulase-v-humpolci/|1|||||
59||Cheb|kostel sv. Mikuláše|Karlovarský|Cheb|Zaus, Martin|?-1905|56||50.0807556|12.3703619||1894|3|40|m-Bkk|mechanická traktura s Barkerovou pákou, kuželková vzdušnice|||||||||2|1||1|||||1|||||římskokatolický kostel||Chebské varhanní léto|Jeden z nejhodnotnějších romantických nástrojů na našem území.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 86)||https://www.klasikaplus.cz/serial/item/3552-varhany-a-varhanici-11-br-zausovy-romanticke-varhany-v-chebu|451||Jeden z prvních nástrojů a životní dílo chebského varhanáře Martina Zause. V charakteristickém zvuku varhan a vynikajícím řemeslném zpracování navazuje Zaus na léta svých varhanářských studií ve Francii.||Rekonstrukce se zatím plánuje (zdroj).|1||https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Orgel_Martin_Zaus_Basilika_%28Eger%29.jpg/640px-Orgel_Martin_Zaus_Basilika_%28Eger%29.jpg|Gliwi, CC BY-SA 4.0, via Wikimedia Commons|https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Cheb_velk%C3%BD_kostel_1.jpg/640px-Cheb_velk%C3%BD_kostel_1.jpg|VitVit, CC BY-SA 4.0, via Wikimedia Commons
99||Chvalčov|Svatý Hostýn|Zlínský|Kroměříž|Rieger-Kloss; Roháč-Juráň||14||49.3801406|17.7017483||1953;2002|4|70|ep|elektropneumatická traktura|||||||||9|1|||1|1||||1||||římskokatolický kostel||||||https://www.hostyn.cz/varhany.html|370||Velký čtyřmanuálový nástroj firmy Rieger-Kloss byl v nedávné dobře opraven, rozšířen a elektrifikován firmou Roháč-Juráň.|||1|||||
76||Jablonec nad Nisou|kostel Nejsvětějšího Srdce Páně|Liberecký|Jablonec nad Nisou|Rieger||13||50.7270867|15.1712431||1934?|3|43|pk|pneumatická traktura, kuželková vzdušnice||||Eule, Hermann||11|||6|1||1|||||1|1||||římskokatolický kostel||Jablonecké kostely otevřeny|||||1107|||||1|||||
108||Jezvé|kostel sv. Vavřince|Liberecký|Česká Lípa|Tauchmannové||36||50.6987311|14.4312433||1796|2|16|mz?|mechanická traktura, zásuvková vzdušnice?|||||||||6|1|1|||||1||||||římskokatolický kostel|||Zachovalý nástroj z varhanářské dílny Tauchmannů s originální pětidílnou koncepcí varhanní skříně (2 skříně hlavního stroje, skříň pozitivu a 2 krajní skříně pro pedál). V kombinaci s dvoupatrovým kůrem kostela v Jezvé poskytují varhany jedinečný vizuální dojem.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 92); Varhaník: časopis pro varhanickou praxi. Kostelní Vydří: Karmelitské nakladatelství, [1999]- . ISSN 1212-5334. (5/2014, str. 1)|||163||Varhany postavili vrchlabští varhanáři, bratři Ambrosius a Franz Tauchmannovi. Originální koncepce pětidílné skříně, kdy je celý nástroj v podstatě umístěn do zábradlí kůru a pouze 2 skříně s pedálovými rejstříky stojí opodál, je výsledkem důmyslného řešení, kterým se varhanáři vypořádali s nedostatkem místa na kůru.|||1|||||
109||Karlovy Vary|Grandhotel Pupp|Karlovarský|Karlovy Vary|Rieger||13||50.2193214|12.8787547||1925|3|57|?|?|||||||||4|1||1|||||1|1||||lázeňský hotel|1||Velký zachovalý nástroj z meziválečného období firmy Rieger, ojediněle umístěný v necírkevním objektu.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 98)|||182||Jak je pro meziválečné varhany firmy Rieger typické, rejstříková dispozice varhan již vykazuje rysy tzv. varhanního hnutí, usilujícího o návrat k baroknímu zvukovému ideálu, spočívajícímu mj. v lesklém zvuku rejstříků vyšších poloh. Neobarokní skříň skvěle zapadá do koncertního sálu hotelu. Varhany byly mírně přestavěny firmou Rieger-Kloss v r. 1988.|||1|||||
37||Kladruby|kostel Nanebevzetí Panny Marie|Plzeňský|Tachov|Burkhardt, Leopold|1673-1741|3||49.7126494|12.9955647||1726|2|24|mz|mechanická traktura, zásuvková vzdušnice||Santini, Jan Blažej|||||||3|1|1|||||1|||||Originální výtvarné řešení skříně ve stylu barokní gotiky, navržené přímo architektem přestavby chrámu Santinim.|římskokatolický kostel||Kladrubské léto|Zvukově velmi cenný reprezentativní nástroj z dílny Leopolda Burkhardta usazený ve výtvarně cenné Santiniho skříni.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 104); Varhaník: časopis pro varhanickou praxi. Kostelní Vydří: Karmelitské nakladatelství, [1999]- . ISSN 1212-5334. (2012/5, str. 1); Tomší, Lubomír et al. Historické varhany v Čechách. 1. vyd. Praha: Libri, 2000. 263 s. ISBN 80-7277-009-8. (str. 74)||http://www.ceskevarhany.cz/lesson/kostel-nanebevzeti-panny-marie-kladruby/|186||Varhany disponují tzv. lomenou oktávou, kde je ve spodní manuálové poloze díky rozdělení dvou černých kláves na dvě poloviny umožněno hrát chromatické tóny Fis a Gis, což bylo u barokních varhan v českých zemích spíše výjimkou. Hlavní stroj varhan disponuje pouze principálovými rejstříky, jemnější hlasy jsou obsaženy v pozitivu.|||1||https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Kladubry_Orgel_Burkhardt.jpg/449px-Kladubry_Orgel_Burkhardt.jpg|Regerman, CC BY-SA 4.0, via Wikimedia Commons|https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Kladruby1.JPG/640px-Kladruby1.JPG|Orange.man, Public domain, via Wikimedia Commons
110||Krnov|koncertní síň v bývalém kostele sv. Ducha|Moravskoslezský|Bruntál|Rieger-Kloss||14||50.0910919|17.7064697||1988|3|39|mz|mechanická traktura, zásuvková vzdušnice|||||||||7|1|||1|||||1||||koncertní síň v bývalém kostele||||Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 108)|||5440||Varhany jsou umístěny v presbytáři bývalého kostela, při koncertech tedy publikum na varhaníka přímo vidí. Moderně pojatá varhanní skříň dobře zapadá do gotického prostoru. Na svoji dobu byly varhany moderně technicky řešené, již po dostavění obsahovaly systém 64 paměťových slotů pro uložení rejstříkových kombinací.|||1|||||
53|1|Kroměříž|kostel sv. Mořice|Zlínský|Kroměříž|Petr, Emanuel Štěpán|1853-1930|12||49.2991767|17.3910325||1905|3|46|pp|pneumatická traktura||Arche, Antonín||Stavinoha, Josef|||1990||5|1||1|||||1|||||římskokatolický kostel||Forfest|Velké a dobře zachované Petrovy varhany, jediný velký Petrův nástroj na Moravě.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 110);  ŠON, Jiří. Emanuel Štěpán Petr v kontextu českého varhanářství [online]. Brno, 2011 [cit. 2022-05-04]. Dostupné z: https://is.jamu.cz/th/y47ke/. Bakalářská práce. Janáčkova akademie múzických umění, Hudební fakulta. Vedoucí práce Petr LYKO. (str. 20)|||202||Varhany stojí ve skříni varhan Jakoba Deutschmanna z roku 1845, jedná se o jednu z prvních novogotických skříní u nás. Píšťalový fond Deutschmannových varhan použil i Petr při stavbě nového nástroje. Při opravě varhanářem Stavinohou došlo k drobným úpravám dispozice v neobarokním duchu.|||1|||||
69||Kutná Hora|kostel sv. Jakuba|Středočeský|Kutná Hora|Melzer, Josef|1871-1958|9||49.9483772|15.2676861||1903|4|74|ek|elektrická traktura, kuželková vzdušnice||||Organa|45||1997||6|1||1|||||1|1||1||římskokatolický kostel||||Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 112)|||210||Varhany byly v průběhu 20. století několikrát přestavěny, v současné době jde tedy o nástroj s univerzální rejstříkovou dispozicí.|||1|||||
29||Litoměřice|katedrála sv. Štěpána, boční empora|Liberecký|Litoměřice|Däcker, David|1583?-1641||12|50.5321183|14.1345131||před 1627|1||mz|mechanická traktura, zásuvková vzdušnice||||Šlajch, Vladimír|28||2010?|440000|1|1|1||||1||||1|||římskokatolický kostel|||Varhany jsou mimořádně cenné svou starobylostí, stylově sahají ještě do renesančního varhanářství.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 122); Varhaník: časopis pro varhanickou praxi. Kostelní Vydří: Karmelitské nakladatelství, [1999]- . ISSN 1212-5334. (2011/2, str. 1)||https://www.vladimirslajch.cz/varhany/zobraz_projekty.php?id=Doksy; https://liberecky.denik.cz/zpravy_region/ctyri-sta-let-stare-varhany-rozeznely-katedralu.html|79||Varhany byly původně postaveny do kostela v Doksech, poté přesunuty do kostela v Kruhu, a nakonec v 21. století po restaurování (nástroj byl značně poničen a rozkraden) umístěny do katedrály v Litoměřicích. Renesanční styl varhan se projevuje ve ztvárnění skříně i v rejstříkové dispozici (např. disponování jazykového rejstříku Regál, velmi netypického u našich varhan z pozdějšího barokního období).||Na varhany.net jsou varhany uvedeny ještě v Doksech.; Posunuty souřadnice kvůli překryvu.|1|||||
63||Litoměřice|katedrála sv. Štěpána|Ústecký|Litoměřice|Jehmilch|||14|50.5321183|14.1285131|Německo|1941|4|53|ep|elektrická traktura||Reiss, Anton (varhanář)||Jehmilch||14|1999||2|1||1|||||1|1||1||římskokatolický kostel||Litoměřické varhanní léto|Velké varhany, jejichž dispozice respektuje zásady tzv. varhanního hnutí, usilujícího o návrat k baroknímu zvukovému ideálu. Ten spočívá mj. v lesklém zvuku rejstříků vyšších poloh.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 120)|||512||Díky zakázce na tyto varhany, získané v období 2. světové války, nemuseli varhanáři firmy Jehmlich narukovat do německé armády. Rokokové skříně pochází z barokních varhan Antona Reisse, které byly do litoměřické katedrály převezeny z Prahy.|||1||https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Katedr%C3%A1la_svat%C3%A9ho_%C5%A0t%C4%9Bp%C3%A1na%2C_Litom%C4%9B%C5%99ice.jpg/640px-Katedr%C3%A1la_svat%C3%A9ho_%C5%A0t%C4%9Bp%C3%A1na%2C_Litom%C4%9B%C5%99ice.jpg|H2k4, CC BY-SA 4.0, via Wikimedia Commons|https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Cathedral_of_Saint_Stephen_Litom%C4%9B%C5%99ice.jpg/520px-Cathedral_of_Saint_Stephen_Litom%C4%9B%C5%99ice.jpg|Karelj (cropped by Rabanus Flavus), CC0, via Wikimedia Commons
46||Litomyšl|proboštský kostel Povýšení sv. Kříže|Pardubický|Svitavy|Grygar, Vladimír||5||49.8706969|16.3137150||2000|4|51|epk|elektropneumatická traktura, kuželková vzdušnice|||||||||8|1||||1||||||1||římskokatolický kostel||Smetanova Litomyšl|||||573||Jeden z největších nástrojů postavený u nás po r. 1989.|||1|||||
62||Litomyšl|piaristický kostel Nalezení sv. Kříže|Pardubický||Jozefy, Jan||71||49.8719925|16.3124839||1821|2||mz|mechanická traktura, zásuvková vzdušnice||||Organa|45||2016?||4|1||1|||||0?|||||koncertní síň v bývalém kostele|||||||574||||Jozéfy stavěl varhany, když mu bylo teprve 18 let. Historické varhany v Čechách: varhany tam nejsou||||||
112|1|Ludgeřovice|kostel sv. Mikuláše|Moravskoslezský|Opava|Rieger||13||49.8910011|18.2389378||1931|2|45|pk|pneumatická traktura, kuželková vzdušnice||Schreiner, Georg||Ponča, Robert|67||2004||4|1||1|||||1|1||||římskokatolický kostel||MHF Leoše Janáčka|Pouze dvoumanuálový, ale přesto značně rozsáhlý nástroj reprezentující meziválečnou tvorbu firmy Rieger.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 126)|||5272||Konzervativní neogotická varhanní skříň zapadá dobře do interiéru kostela. Varhany již částečně vycházejí ze zásad tzv. varhanního hnutí, usilujícího o návrat k baroknímu zvukovému ideálu, spočívajícímu mj. v lesklém zvuku rejstříků vyšších poloh.|||1|||||
||Luka nad Jihlavou|kostel sv. Bartoloměje|Vysočina||Šlajch, Vladimír||28||49.3737561|15.7017361||2013|||||||||||||8|1||||||||||||římskokatolický kostel|||||||4290||||||||||
